core
- Sarah Hoffman: 134
- Andy Allan: 106
- Matthijs Melissen: 101
- Simon Poole: 87

innovation
- Wikimedia Foundation Collaboration team: 135
- Telenav: 100
- WhatIsWhere: 60
- OpenTripMap: 45

writing
- Marc Gemis (escada): 87
- Serge Wroclawski: 68
- Anonymaps: 91
- Christoph Hormann (imagico): 100

mapping
- tshedy: 161
- DGerveno: 52
- katpatuka: 95
- Zors1843: 56

community
- Christine Karch: 122
- Andrew Braye: 103
- Rory McCann: 76
- Seppe Santens: 32

latam
- OpenstreetMap Mexico: 112
- Luis Miguel Sánchez Zoque: 69
- Natalia da Silveira Arruda: 137

africa
- Crowd2Map Tanzania: 167
- Samaila Alio and OSM Niger: 71
- tshedy: 121

asia
- State of the Map Asia 2017 organizing team: 129
- indigomc: 61
- Eugene Alvin Villar: 71

ulf
- Russell Deffner: 102
- Ralph Aytoun: 80
- Simon Poole: 110
- Richard Fairhurst: 111

12,2,3,,,1,1,13,4
,,2,,2,,,,2
1,1,3,3,1,1,3,2,4
3,3,3,1,1,1,3,3,1
,,,,,,1,,
12,1,34,1,,,3,,4
3,1,4,,1,,,,3
1,2,1,4,1,1,1,1,3
2,3,134,1,3,3,1,3,4
,,,,,,1,,
124,2,4,,1,2,3,,34
4,3,1,3,3,2,2,1,2
,,,,,3,,,
,,,,2,,,,
13,1,,1,,,,,
1,1,4,,1,,1,,3
3,24,3,1,1,1,1,12,1
3,2,4,2,4,3,2,1,3
3,1,4,1,1,1,1,3,4
2,1,1,2,1,,,,4
1234,4,134,24,14,1,1,12,34
,3,,3,,2,,,
4,13,,,,,,,24
123,2,123,13,123,123,123,123,124
4,2,2,3,1,1,1,1,12
1,2,1,1,2,1,1,1,1
2,2,13,1,1,,3,,4
,,,3,,3,1,,1
3,2,4,1,3,1,1,3,2
2,1,3,4,1,2,2,3,4
4,4,3,,,2,,,
1,1,4,,1,,,,3
,,,1,,,3,,
1,,,,,,,,4
,,,,3,3,1,1,1
12,1,1,,12,13,3,1,1
,,,,,,2,,
13,2,1,3,13,2,1,1,2
1,1,1,1,2,,,,4
1,1,4,3,3,,3,,3
,,,2,,,,,
