core
- Anton Khorev: 97
- Christian Quest: 126
- Paul Norman: 110
- Jake Low: 65

innovation
- Roman Deev: 105
- Brandon Liu: 89
- Eric Theise: 52
- Daniel Schep: 90

writing
- b-unicycling: 93
- Raquel Dezidério Souto: 78
- Brazil Singh: 70
- Pablo Sanxiao and Iria Iglesias: 83

mapping
- Phoebe Adams: 86
- Juan Jose Iglesias Gonzalez: 51
- Samuel Darkwah Manu: 65
- Libor Bednarik: 107

community
- Marco Minghini: 88
- Sawan Shariar: 76
- Jannie Fleur V. Oraño: 144
- Mikko Tamura: 104

team
- UP Resilience Institute YouthMappers: 101
- HeiGIT: 101
- OSM Latam Community: 117
- Grab Maps: 45

ulf
- Sawan Shariar: 68
- Geoffrey Katterega: 98
- Tom Hughes: 101
- Maggie Cawley: 71

3,4,3,1,4,12,2
,,,,3,,
2,1,4,4,3,3,3
2,4,2,4,1,1,1
1,1,,,3,3,2
,,,,,1,
4,1,2,4,1,3,2
,,,,3,,
4,3,3,2,,3,4
1,2,24,234,1234,13,23
13,13,34,2,2,3,14
,,,,3,,
1,4,3,4,4,3,2
1234,,4,,,4,3
2,3,3,1,24,4,1
23,2,1,1,4,3,3
,,,,3,,
24,14,,123,14,1234,2
,,,1,,,
2,1,1,1,3,2,3
,,,,3,,
,,,,,3,
2,1,3,4,1,2,3
34,24,,1234,,,4
1,4,3,12,24,12,1234
1234,1,,,,,
,,,,3,,
,,,,,3,
,,,4,,,
,,,,2,,1
,,,,2,,
,,,,,3,
,,,,4,3,
,,,,3,,
,,,,3,,
3,2,4,2,1,4,34
,,2,2,2,23,
,,,,3,,
,,,,3,,
4,4,1,,,2,4
2,2,3,1,1,2,3
13,2,1,,1,2,3
,,,,3,,
3,3,2,,2,3,2
2,2,4,3,1,2,24
3,1,1,1,,2,2
2,3,1,,1,2,4
23,12,3,1,134,14,3
,,,,2,,1
1234,1234,1234,1234,1234,1234,1234
,,,,4,1,
1,1,1,3,1,3,3
3,2,,,,2,2
2,2,1,3,1,4,3
4,2,4,2,4,3,2
,,,,4,1,
2,4,1,4,1,1,234
14,,2,,,3,4
3,2,4,4,24,3,1
2,4,4,1,,4,
,,,,,3,
3,3,2,2,1,1,4
,,,,3,,
3,2,1,,,2,3
12,12,1,1,,2,
,,,,3,,
14,1,1,234,,3,3
124,124,1,1,,1,4
,,,4,,,
4,4,4,4,2,3,4
1,1,3,4,2,4,3
,,,,3,,
,,,4,,,
,,,,,1,
,,,,3,,
123,24,1234,234,,,123
123,2,4,3,4,23,3
,,,,4,1,
,,,4,,,
3,14,1,,,,
,,,,4,,
1,13,3,4,2,2,
,,,,,1,
,,,,3,,
2,4,4,4,24,3,3
,,,,4,1,
1,1,1,4,3,4,2
3,2,4,4,2,3,3
,,,,3,,
,,,,3,,
,,,,1,,
3,3,1,3,2,12,1
12,12,124,13,123,3,123
2,14,24,13,234,3,12
1,1,4,3,3,3,3
,,,,3,,
3,3,3,3,2,1,1
,,2,,,,
2,,1,1,,,
1234,1234,1234,1234,1234,1234,234
,,,,,3,
24,14,1,1,,24,4
,,,,,1,
34,,,,,,
1234,1234,234,1234,1234,1234,1234
,,,,,1,
14,1,13,4,4,2,2
2,,,,,,
2,1,,,,,
2,4,1,4,1,2,3
4,2,13,,4,23,24
,,,4,,,
,,23,,,3,4
,,,,4,,
2,1,,,,2,
,,2,,,,
1,3,3,4,2,3,1
2,1,2,2,4,3,3
3,3,1,1,3,3,1
,,,4,,,
12,12,12,13,34,3,234
,,,2,,,
3,4,,4,1,2,3
2,,4,,,2,
2,3,1,,4,,
2,,2,1,34,,4
,,,2,,,
123,2,,1,,24,
1,2,1,,,2,3
2,2,4,,,2,
,,,,3,,
134,4,234,1234,234,13,123
,,,,4,,
,,,,3,,
4,4,3,1,1,1,4
3,12,4,4,,,
,,,,3,,
,,,,4,,
2,2,4,2,14,3,3
2,2,,3,1,3,3
2,4,2,1,3,13,2
,,,,124,,1
2,4,4,3,3,1,2
,,,,3,,
,,,,3,,
4,14,2,1,4,3,1
2,14,4,2,2,14,1
,,,,,1,
,,,,3,,
,,,14,23,2,2
,,,,,1,
,,,,3,1,
,,13,4,4,12,12
3,1,2,1,1,3,2
14,4,3,34,234,1,12
1,1,2,23,4,3,1
23,4,12,3,13,24,34
13,124,,,,2,
,,,,1,,
12,234,4,13,,3,24
1,14,4,,,,
3,2,2,2,4,3,2
2,2,1,3,1,2,3
2,1,1,3,,23,2
,,1,,,1,
,,,,2,,1
,,2,,,,
,,,,3,,
,,,4,,,
234,124,234,134,134,1234,124
4,4,4,1,4,1,3
3,3,4,1,3,2,4
,,,4,,,
3,2,1,3,2,3,1
,,2,,,,
,,,,2,,1
,,,,1,,3
34,24,2,1,3,3,4
2,24,1,,,2,4
,,,,3,,
,,,,,3,
,,,4,,,
,2,,,,3,
,,,,3,,
1234,14,14,3,1234,1234,23
23,1,4,,,,3
,,,,3,,
,,,,,3,
,,,,,3,
1234,1234,1234,1234,1234,1234,1234
,,,,3,1,
,,,4,,4,
4,4,1,23,2,2,1
,,,,3,,
,,,,,1,
,,,,3,,
2,4,12,4,1,2,3
,,,,,1,
,1,,,,,
,,2,,,,
13,12,124,4,13,23,23
,,,,,1,
,,3,,4,4,
2,,,,,,
,,1,1,2,,
,,,,3,,
,,,,,1,
,,2,,,,
,,,,4,,
3,1,,,,2,3
1,3,4,3,2,3,1
2,4,4,4,1,4,3
,,,,3,,
2,1,4,3,2,1,2
2,,4,,,3,
13,1,,1,,,
4,2,4,1,2,3,3
12,,1,1,,,
,4,3,4,4,2,2
2,,,4,4,2,2
2,4,,2,4,2,2
,,,,,1,
,,1,,1,1,
,,,,3,,
,,,,3,,
,,12,,,3,4
1234,1234,1234,1234,1234,1,1234
2,2,,,,3,3
,,3,1,,,3
2,2,4,1234,1234,1234,1234
3,4,2,2,4,3,3
3,1,1,1,1,4,3
,,,,3,,
1234,1,4,,,,3
2,,,,,,
,1,4,1,,,
,,,,4,,
4,1,2,4,4,1,3
3,4,3,2,2,3,3
4,124,,,,2,4
1234,4,4,,1,23,
2,,,,,,
,,,,,3,
124,1,1,,,,
,,,,3,,
3,4,1,4,3,1,2
1,2,1,,2,1,2
123,12,1,14,1234,2,123
2,,,,,,
1,2,2,4,4,4,2
,,,,3,,
,,,,3,,
1234,1234,1234,,4,1,1234
3,1,,,,,3
,,,,4,,
2,24,4,34,1,,2
12,3,3,1,24,2,1
2,2,,1,,1,
,,,4,,2,
4,4,3,2,4,3,2
,,,4,,,
,,,,3,,
,,,,,3,
,,,,3,,
3,,,,,,
,,,4,,,
3,4,4,2,,3,1
3,14,2,4,1,14,234
,,,,3,,
2,4,3,2,2,2,2
2,2,,,1,2,4
13,12,13,13,13,23,23
2,1,3,1,4,3,2
,,,,3,,
2,4,3,4,1,1,
,,3,,2,1,1
,,,,3,,
,,,,3,,
,,,,4,,
,,,,34,1,
1,4,1,4,2,2,1
,,,,,1,
3,2,4,4,3,,4
,,,2,4,3,
2,1,1,4,4,3,4
,,3,,4,,2
23,1,1,2,1,,34
1,1,4,4,,,
,3,2,1,13,3,4
12,1,,,,,3
,,,,3,,
,,,,3,,
,,2,,,,
,,,,3,,
123,14,1,234,24,34,1234
1234,1234,14,4,34,2,34
,,,,3,,
13,1,1,1,,2,3
4,3,3,4,4,4,2
